Query 3; Tempo: 819.8633193969727; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 999.1936683654785; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 797.7180480957031; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 893.683910369873; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 931.5609931945801; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 937.7193450927734; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 852.4477481842041; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 791.8593883514404; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 986.4096641540527; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 978.7836074829102; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 922.4565029144287; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 918.2758331298828; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 843.9178466796875; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 773.8466262817383; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 922.299861907959; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 855.9036254882812; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 940.7248497009277; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 851.391077041626; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 879.2312145233154; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 933.150053024292; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 908.7715148925781; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 1012.6945972442627; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 866.6846752166748; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 885.2405548095703; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 803.546667098999; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 877.7477741241455; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 877.8443336486816; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 851.0141372680664; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 998.438835144043; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 940.9046173095703; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 965.9295082092285; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 825.8600234985352; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 859.8833084106445; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 824.1977691650391; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 922.7750301361084; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 820.3728199005127; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 923.7596988677979; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 918.0424213409424; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 978.731632232666; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 864.1619682312012; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 965.4104709625244; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 907.2370529174805; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 828.4420967102051; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 932.3709011077881; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 930.1280975341797; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 988.020658493042; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 870.549201965332; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 1133.4528923034668; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 867.2080039978027; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 911.6511344909668; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 881.263017654419; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 857.3105335235596; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 858.7720394134521; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 865.0515079498291; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 977.5609970092773; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 1064.103126525879; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 831.7110538482666; Payload Request: 252; Payload Response: 49080
Query 3; Tempo: 846.4758396148682; Payload Request: 252; Payload Response: 49080
