Query 2; Tempo: 397.98831939697266; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 216.93754196166992; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 212.14795112609863; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 203.92632484436035; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 217.54980087280273; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 206.43210411071777; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 278.84697914123535; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 208.54663848876953; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 363.0354404449463; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 316.99061393737793; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 226.74894332885742; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 217.8661823272705; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 240.25535583496094; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 195.60909271240234; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 313.11988830566406; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 237.56170272827148; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 204.60748672485352; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 320.3134536743164; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 206.73370361328125; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 245.74041366577148; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 228.5172939300537; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 199.9528408050537; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 249.1769790649414; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 238.07358741760254; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 231.339693069458; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 319.67830657958984; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 192.61455535888672; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 264.5244598388672; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 240.48447608947754; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 243.64042282104492; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 328.449010848999; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 272.07350730895996; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 408.2763195037842; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 190.77110290527344; Payload Request: 361; Payload Response: 2482
Query 3; Tempo: 505.42283058166504; Payload Request: 638; Payload Response: 3025
Query 3; Tempo: 587.5203609466553; Payload Request: 638; Payload Response: 3025
Query 3; Tempo: 570.8954334259033; Payload Request: 638; Payload Response: 3025
Query 3; Tempo: 469.2378044128418; Payload Request: 638; Payload Response: 3025
Query 3; Tempo: 499.97520446777344; Payload Request: 638; Payload Response: 3025
Query 3; Tempo: 530.656099319458; Payload Request: 638; Payload Response: 3025
Query 3; Tempo: 485.87656021118164; Payload Request: 638; Payload Response: 3025
Query 3; Tempo: 438.6312961578369; Payload Request: 638; Payload Response: 3025
Query 3; Tempo: 503.4513473510742; Payload Request: 638; Payload Response: 3025
