Query 2; Tempo: 336.913589ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 320.999611ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 347.303007ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 330.787935ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 341.221542ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 378.550992ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 406.893071ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 332.704767ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 365.904545ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 360.257673ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 356.581917ms; Payload Request: 115; Payload Response: 15954
Query 3; Tempo: 751.813499ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 663.292273ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 736.18852ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 702.76089ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 898.303101ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 743.624849ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 701.016887ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 743.240154ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 692.765834ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 823.72743ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 676.646199ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 726.087234ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 736.850217ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 807.765726ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 867.383226ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 748.735371ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 700.461697ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 756.358209ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 660.040815ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 760.854947ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 730.530471ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 808.92496ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 671.439789ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 835.568968ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 746.459641ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 682.022244ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 690.974134ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 759.868041ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 851.408502ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 721.067852ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 757.72055ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 684.929393ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 683.244584ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 771.970197ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 1.013562661s; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 668.587822ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 741.674712ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 642.331539ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 708.657373ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 751.615845ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 717.805561ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 824.005671ms; Payload Request: 252; Payload Response: 45726
Query 3; Tempo: 953.459287ms; Payload Request: 252; Payload Response: 45726
